lat,lng,alt,timestamp,x_acc,y_acc,z_acc,x_gyro,y_gyro,z_gyro,x_grav,y_grav,z_grav,lum,activity
40.16635,-8.453739,172.33157,1529358299910,2.231396,1.4939818,9.710882,-1.6629846,-0.20015436,-1.1104308,-1.6629846,-0.20015436,-1.1104308,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299911,2.4420857,1.1683705,10.601525,-1.6629846,-0.20015436,-1.1104308,-1.6629846,-0.20015436,-1.1104308,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299911,2.4420857,1.1683705,10.601525,-1.6629846,-0.20015436,-1.1104308,-1.6629846,-0.20015436,-1.1104308,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299911,2.432509,0.9576807,11.271901,-1.6629846,-0.20015436,-1.1104308,-1.6629846,-0.20015436,-1.1104308,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299912,2.432509,0.9576807,11.271901,-1.6629846,-0.20015436,-1.1104308,2.3681,1.3034999,9.4267,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299912,2.432509,0.9576807,11.271901,-1.6289158,-0.20547761,-1.0923318,-1.6289158,-0.20547761,-1.0923318,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299926,2.2601264,0.80445176,11.951855,-1.6289158,-0.20547761,-1.0923318,-1.6289158,-0.20547761,-1.0923318,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299926,2.2601264,0.80445176,11.951855,-1.5575842,-0.27574456,-1.1008489,-1.5575842,-0.27574456,-1.1008489,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299927,2.0494366,0.7278373,12.6222315,-1.5575842,-0.27574456,-1.1008489,-1.5575842,-0.27574456,-1.1008489,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299927,2.0494366,0.7278373,12.6222315,-1.5575842,-0.27574456,-1.1008489,2.3453,1.1477,9.4526,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299927,2.0494366,0.7278373,12.6222315,-1.4468604,-0.42160174,-1.1232066,-1.4468604,-0.42160174,-1.1232066,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299927,1.8483237,0.7086837,13.340492,-1.4468604,-0.42160174,-1.1232066,-1.4468604,-0.42160174,-1.1232066,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299927,1.8483237,0.7086837,13.340492,-1.3031327,-0.60791564,-1.1530168,-1.3031327,-0.60791564,-1.1530168,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299942,1.6567876,0.8619126,13.828909,-1.3031327,-0.60791564,-1.1530168,-1.3031327,-0.60791564,-1.1530168,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299943,1.6567876,0.8619126,13.828909,-1.3031327,-0.60791564,-1.1530168,2.4617999,0.969,9.443,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299943,1.6567876,0.8619126,13.828909,-1.1285299,-0.72289795,-1.1817625,-1.1285299,-0.72289795,-1.1817625,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299943,0.8331822,1.7142484,13.8959465,-1.1285299,-0.72289795,-1.1817625,-1.1285299,-0.72289795,-1.1817625,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299944,0.8331822,1.7142484,13.8959465,-0.92518157,-0.649437,-1.1711159,-0.92518157,-0.649437,-1.1711159,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299944,0.6799533,1.9057846,13.809755,-0.92518157,-0.649437,-1.1711159,-0.92518157,-0.649437,-1.1711159,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299944,0.6799533,1.9057846,13.809755,-0.92518157,-0.649437,-1.1711159,2.4292,0.9334,9.455,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299944,0.6799533,1.9057846,13.809755,-0.71438074,-0.44715336,-1.1306592,-0.71438074,-0.44715336,-1.1306592,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299944,0.37349546,1.8770541,13.551182,-0.71438074,-0.44715336,-1.1306592,-0.71438074,-0.44715336,-1.1306592,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299945,0.37349546,1.8770541,13.551182,-0.5089031,-0.14372787,-1.0710387,-0.5089031,-0.14372787,-1.0710387,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299959,0.16280572,1.7238252,13.359646,-0.5089031,-0.14372787,-1.0710387,-0.5089031,-0.14372787,-1.0710387,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299960,0.16280572,1.7238252,13.359646,-0.5089031,-0.14372787,-1.0710387,2.5009,0.83919996,9.4451,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299960,0.16280572,1.7238252,13.359646,-0.30874875,0.23422319,-0.9954485,-0.30874875,0.23422319,-0.9954485,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299960,0.17238252,1.4939818,13.455414,-0.30874875,0.23422319,-0.9954485,-0.30874875,0.23422319,-0.9954485,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299960,0.17238252,1.4939818,13.455414,-0.11285299,0.6057863,-0.9262462,-0.11285299,0.6057863,-0.9262462,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299961,0.35434186,1.0534488,13.733141,-0.11285299,0.6057863,-0.9262462,-0.11285299,0.6057863,-0.9262462,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299975,0.35434186,1.0534488,13.733141,-0.11285299,0.6057863,-0.9262462,2.3432,0.8491,9.4846,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299976,0.35434186,1.0534488,13.733141,0.26296875,1.1806978,-0.85065603,0.26296875,1.1806978,-0.85065603,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299977,0.49799395,0.5554548,13.800179,0.26296875,1.1806978,-0.85065603,0.26296875,1.1806978,-0.85065603,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299977,0.49799395,0.5554548,13.800179,0.26296875,1.1806978,-0.85065603,0.26296875,1.1806978,-0.85065603,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299978,0.545878,0.18195933,13.589489,0.26296875,1.1806978,-0.85065603,0.26296875,1.1806978,-0.85065603,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299979,0.545878,0.18195933,13.589489,0.26296875,1.1806978,-0.85065603,2.3095999,0.82,9.495399,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299979,0.545878,0.18195933,13.589489,0.42160174,1.4234382,-0.8346863,0.42160174,1.4234382,-0.8346863,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299980,0.51714754,-0.22026655,13.22557,0.42160174,1.4234382,-0.8346863,0.42160174,1.4234382,-0.8346863,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299980,0.51714754,-0.22026655,13.22557,0.56745887,1.6321098,-0.8208458,0.56745887,1.6321098,-0.8208458,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299981,0.51714754,-0.50757074,12.660539,0.56745887,1.6321098,-0.8208458,0.56745887,1.6321098,-0.8208458,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299981,0.51714754,-0.50757074,12.660539,0.56745887,1.6321098,-0.8208458,2.0815,0.8319,9.547,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299982,0.51714754,-0.50757074,12.660539,0.6962817,1.8077772,-0.804876,0.6962817,1.8077772,-0.804876,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299992,0.39264908,-0.7278373,11.942278,0.6962817,1.8077772,-0.804876,0.6962817,1.8077772,-0.804876,0.0,WALKING
40.16635,-8.453739,172.33157,1529358299993,0.39264908,-0.7278373,11.942278,0.8059407,1.9461818,-0.7814537,0.8059407,1.9461818,-0.7814537,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300009,0.39264908,-0.7278373,11.942278,0.8059407,1.9461818,-0.7814537,1.8963,0.8975,9.5795,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300009,0.11492168,-1.0821792,10.486604,0.8059407,1.9461818,-0.7814537,1.8963,0.8975,9.5795,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300010,0.11492168,-1.0821792,10.486604,0.89750063,2.0420003,-0.7516435,0.89750063,2.0420003,-0.7516435,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300010,-0.12449849,-1.2258313,9.959879,0.89750063,2.0420003,-0.7516435,0.89750063,2.0420003,-0.7516435,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300011,-0.12449849,-1.2258313,9.959879,0.9709616,2.0686166,-0.71757466,0.9709616,2.0686166,-0.71757466,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300011,-0.12449849,-1.2258313,9.959879,0.9709616,2.0686166,-0.71757466,0.9709616,2.0686166,-0.71757466,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300011,-0.12449849,-1.2258313,9.959879,1.0252588,2.0015435,-0.6824412,1.0252588,2.0015435,-0.6824412,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300012,-0.12449849,-1.2258313,9.959879,1.0252588,2.0015435,-0.6824412,1.6455,0.8908,9.6264,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300012,-0.51714754,-1.2354081,9.557653,1.0252588,2.0015435,-0.6824412,1.6455,0.8908,9.6264,0.0,WALKING
40.16635,-8.453739,172.33157,1529358300013,-0.51714754,-1.2354081,9.557653,1.0646509,1.8503631,-0.63985515,1.0646509,1.8503631,-0.63985515,0.0,WALKING
